NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
How long does it take to get to downtown from here ?,"And the total ratio of return on assets should not be lower than the average , for that particular industry , for the first two quarters of the year .",let's see how much the bill is .,Is it because that would give the host the impression that the food was insufficient ?,"No , in most cases I don't have to unless there is something urgent to deal with . I work five days a week .","It's true that we should do something about unemployment , but what about inflation ? If unemployment falls , there's pressure to increase pay . That would result in inflation , which would result in a much less dynamic economy .",,,,,,,,,,,,,
What companies do we have in our neighborhood ?,"Of course we will need proof , originals and duplicate of everything . As soon as you bring in the proof and we assess it , it should be very quick indeed .",what are you talking about ? We'll split the bill .,"We will need new cartridges for all of the office printers ? That will be a large order , probably about two or three cases . The office supply store we usually go through might not have that many in stock .","It is hard to say.But I've to start by working as a trainee before I really become an experienced marketing assistant.Sometimes , I am really under great pressure when it gets busy .","Not really . I like going to an art exhibition once or twice a year . I hardly know anything about art or sculpture . You are a true art lover , aren ?t you ?",,,,,,,,,,,,,
Does the 7th floor belong to our company too ?,"Yes , I know a little about Japanese which is similar to Chinese not only in culture but in language itself .","no way , Gordon . I know that you are a little short on cash at the moment . There's no need for you to pay for the whole bill .","OK , I will make a few calls and run our order by housekeeping first to make sure . Is there anything else we need to order while I am at it ?",Luckily not.The silent I meet are generally very friendly and have a good boss .,I never understand the meaning of those painting . They are too abstract for me . I didn ?t pay much attention in art class at school .,,,,,,,,,,,,,
It ?s such a large firm . Do we have our own staff restaurant ?,"I passed the Band two in LPT , but I will try to achieve Band one which is the highest level .","that's better . This way we will both have money to take a cab home , otherwise , you would probably have to walk .","OK , will do .",Scientists have found a second solar system in the universe .,"I like sculpture , especially that from ancient rome or Greece . What time are you thinking of going ? I ?d love to go with you .",,,,,,,,,,,,,
"Good morning , sir . May I help you ?","I ?m in pretty bad shape , Doctor Ford .",you've got a deal .,What size do you want ?,"It's just a system like ours , with a star and a number of planets going around it .",That sounds fine . What time shall we meet at the bus stop ?,,,,,,,,,,,,,
"Excuse me , sir , but are you Mr . Richard of World Trading Company ?","No appetite , always unaged and I can ?t sleep well .",bye .,How about this one ? It's the latest design .,"It's exciting news ! If we find a second solar system , we might find a second earth !",My mother works in a company as an accountant .,,,,,,,,,,,,,
"I ?m sorry , Mr . Richard . Mr . Johnson is on his way to the office . He had just called and asked you to wait a minute .",YES . I ?Ve lost quite a few pounds since last month .,I hear you are planning to travel abroad .,I'm looking for a pair of shoes .,Yes ! Isn't that exciting ?,"Not always , she's rather busy at the end of the year .",,,,,,,,,,,,,
"Would you like something to drink , sir ? Do you prefer coffee or tea ?",About two month ago .,"In my opinion , there are several places you mustn't miss , like Washington D . C , Las Vegas , New York and Los Angeles .",I wear size 36.This pair looks nice.Can I try them on ?,Why didn't you tell me you had a girlfriend ?,"Hello , Jack.Happy birthday !",,,,,,,,,,,,,
"Here you are , Mr . Richard . This is the cream and this is the sugar . If there ?s anything else you ?d like , please don ?t hesitate to tell me .",What am I suppose to do ?,"Yes , you may consider those two places also . Seattle , for example , is worth visiting and there's a very famous museum called Museum of Flight .",How much are they ?,But you should tell me you were in love with her .,"I'd like to offer you my congratulations on your birthday and best wishes for your future happiness , good health and continued success . I've asked the Fairy Flowers to send you a bunch of flowers . I hope you'll like them .",,,,,,,,,,,,,
911 . How may I help you ?,"Thank you , doctor . I ?ll do what you say .",This looks like a very nice house .,I'll take them .,You know you didn't .,Now let me sing " Happy birthday " for you .,,,,,,,,,,,,,
When did this break-in occur ?,Certainly . Here it is .,The style of the exterior is just what I ?Ve been looking for !,I think it is good if we know enough about career planning . We will make wiser choices . What else did he tell you about it ?,"Yes , but you might have told me before .",It sure is .,,,,,,,,,,,,,
Where did the break-in happen ?,That's right . A German company has invited me for business talks .,This home is gorgeous on the inside !,"Sounds practical ! To be honest , sometimes I feel puzzled about my future career . I am not sure if this job suits me the best though I work very hard on it and enjoy being a hard worker . I have always wanted to try something else and learn some new skills .",You can't be serious . How dare you not tell me you are going to marry her ?,I don't want to .,,,,,,,,,,,,,
Was anything taken ?,Just two weeks .,The wall colors totally suit the style of this house .,"Ok , then we can sign up for it together .","Oh , you men ! You are all the same .",Certainly not .,,,,,,,,,,,,,
What makes you think there was a break-in ?,"Only one . In this case , I have a camera .",I love the bamboo flooring and granite countertops .,I think it's the postman.Will you go and open the door ?,How was the movie last night ?,Turn on the TV for what ?,,,,,,,,,,,,,
I'll send a squad car .,"Yes , I do .","There is plenty of room for our king-sized bed , and I love the light in this room .","No , we don't .",Mary said that she was really pleased with the photography .,"Listen to the music ? And who will cook dinner , will you ?",,,,,,,,,,,,,
"Good morning , everyone . Let me introduce myself to you ...",I will .,Room service.What can I do for you ?,"Six , including two kids .","She liked the acting , too , because that's what she wanted to see .","To a disco ? Oh , no . You know I hate it .",,,,,,,,,,,,,
"Well , thank you very much but I thought l'd try and chair the meeting by the rule ?at least for a while .",Thank you .,"Sorry sir , we will bring you one.Anything else ?","If you go onto our website and put in your password , you can access your test results .",Nothing is to your satisfaction .,Brian ! How have you been ?,,,,,,,,,,,,,
"Now , I'd like to get things under way . The main topic on today's agenda is the development of a U . S . sales strategy for the new EBB . I'd like to hear all of your ideas , Mr . Wall , you seem in top form today . Could you start the ball rolling ?","Generally speaking , a CV or resume is made up of 6 parts , personal information , educational experience , practical experience , personal skills , self-evaluation and job intentions .",Good afternoon.British Airline.Is there any thing I can do for you ?,I will always have you come in for a discussion if there is a major problem .,"Honey , I ?ll be right back !","Oh , well , I've lost some weight . And my hair is longer than before .",,,,,,,,,,,,,
"Well , that's kind of obvious .","Including your name , sex , date of birth , height , phone number , and so on .",Sure . When do you want to take the plane ?,"Yes , if you go there , you can see what each test is about .",I told you already ! I ?m going to get my nails done .,I'm doing really well . I got married about three years ago . I have two kids now .,,,,,,,,,,,,,
